run,molecule,intd,s1,s2,risk,endpoint,line,referencetreatment,referencetrial
4758,4,-.75817996,-1.7206091,1.8277034,1,1,1,7,0
274,4,-.4488565,.06896852,-.37529927,1,1,1,7,0
8746,4,.642676,-.96146417,.74786532,1,1,1,7,0
3295,4,-.32157284,-.19500987,.020789232,1,1,1,7,0
8816,4,.043007314,.32805303,-.95784628,1,1,1,7,0
6791,4,-.44268975,-.22580114,-.20818835,1,1,1,7,0
1359,4,-.39422664,-.0055679725,-.10795684,1,1,1,7,0
3286,4,.3116425,-.18084796,-.10192929,1,1,1,7,0
9455,4,-.52661043,-.72056901,1.1177918,1,1,1,7,0
3744,4,-.2964946,.078020677,-.28286493,1,1,1,7,0
1976,4,.23784401,.89891708,-1.5308143,1,1,1,7,0
3293,4,-.66970938,-.44788778,.58120906,1,1,1,7,0
1532,4,-.75271767,-.49047476,.61546075,1,1,1,7,0
1726,4,-.1448184,.77194542,-.98027152,1,1,1,7,0
6254,4,.11605722,1.3084121,-2.0149567,1,1,1,7,0
2665,4,-.69303203,-.64852953,.67465675,1,1,1,7,0
8567,4,.45484,-.65467662,-.18592565,1,1,1,7,0
4432,4,-1.0333194,-.64220381,1.2163835,1,1,1,7,0
3401,4,-.55931884,-.42680889,.085998289,1,1,1,7,0
3291,4,-.49774984,-.41942126,.015350754,1,1,1,7,0
516,4,-.35255921,.63386369,-1.3893367,1,1,1,7,0
3760,4,-.45362285,-.031559411,-.23612921,1,1,1,7,0
9984,4,-.12934409,-.1254566,-1.0415634,1,1,1,7,0
6878,4,-.53509283,-.53224277,.41048914,1,1,1,7,0
2431,4,-.42319083,-.2098933,-.021841899,1,1,1,7,0
7940,4,.12501141,1.6467592,-2.5400095,1,1,1,7,0
5724,4,-.55377132,1.2331929,-1.3990664,1,1,1,7,0
3289,4,-.75752276,-.7505706,.7442863,1,1,1,7,0
7063,4,-.062044099,-.11640457,-.63689131,1,1,1,7,0
995,4,-.31983307,-.55508488,.056122128,1,1,1,7,0
8389,4,-.30811051,-.71477938,.034305315,1,1,1,7,0
3514,4,-.31609488,-.074994497,-.36949047,1,1,1,7,0
3406,4,-.1129364,.92527759,-1.1948878,1,1,1,7,0
6190,4,-.70226717,-.15787677,-.29962051,1,1,1,7,0
7119,4,-.39718992,-.38773945,.61591071,1,1,1,7,0
1984,4,-.87177008,-.90200818,.78089744,1,1,1,7,0
5444,4,-.38365027,.84198701,-.95704722,1,1,1,7,0
3444,4,.23128788,.27205047,-.7609309,1,1,1,7,0
1717,4,.060897484,.36780679,-1.1499475,1,1,1,7,0
2949,4,-.72663635,-.52120322,.96907508,1,1,1,7,0
17,4,-.4775846,-.29779983,-.048728492,1,1,1,7,0
9216,4,-.50113595,-.40171915,.58100301,1,1,1,7,0
6106,4,-.88187581,-.43350741,.42089733,1,1,1,7,0
8391,4,-.58541906,-.21699554,.60383362,1,1,1,7,0
6270,4,-.67611855,.24387458,.055754405,1,1,1,7,0
2551,4,-1.0867424,-.367457,1.0187137,1,1,1,7,0
8135,4,-1.1464072,.26888505,-1.2134949,1,1,1,7,0
8814,4,.42378774,1.0884719,-1.9142563,1,1,1,7,0
9705,4,-.27085364,.19774778,-.31133744,1,1,1,7,0
195,4,-.83050019,-.41069379,.64454567,1,1,1,7,0
5382,4,.14981297,.52813929,-1.2410883,1,1,1,7,0
129,4,-.50243437,-.48931506,.80703217,1,1,1,7,0
6989,4,-.84984303,-.32872215,.7016964,1,1,1,7,0
1547,4,-.44012222,-.47238097,.53892714,1,1,1,7,0
5402,4,.075582743,-.082952306,-.19491971,1,1,1,7,0
3801,4,-.30474022,.87127733,-.79310966,1,1,1,7,0
4169,4,-.39908066,-.23474805,.3087987,1,1,1,7,0
538,4,.21265599,.66774374,-1.527164,1,1,1,7,0
2370,4,.074823432,.82367128,-1.3162326,1,1,1,7,0
8931,4,-.32679737,.38769478,-.37338749,1,1,1,7,0
9694,4,-.11869571,.48899916,-.48287264,1,1,1,7,0
4913,4,-.34292299,.56586957,-.6207332,1,1,1,7,0
4647,4,-.58959794,-.78176492,1.064226,1,1,1,7,0
7107,4,.29740933,1.0847352,-1.6815355,1,1,1,7,0
2780,4,.60961467,.30786929,-.89589852,1,1,1,7,0
7581,4,-.89252853,.64839983,-.20876527,1,1,1,7,0
3729,4,-1.1641167,-.086785063,-.36844102,1,1,1,7,0
3279,4,-.83308297,-.44532126,.72375417,1,1,1,7,0
9450,4,.1648476,-.025040364,-.66187632,1,1,1,7,0
1508,4,-.33441058,.16823877,-.10068983,1,1,1,7,0
714,4,.36885524,.62287319,-1.50664,1,1,1,7,0
1087,4,-.3154428,.41477099,-.32521611,1,1,1,7,0
4426,4,.19683363,.6919198,-.97637838,1,1,1,7,0
1245,4,.62798381,.77760887,-1.2814581,1,1,1,7,0
6795,4,-.46540704,-.32868636,.56573594,1,1,1,7,0
8125,4,-.42044306,-.030674357,-.0066687185,1,1,1,7,0
1380,4,-.53417528,.54189116,-.77487451,1,1,1,7,0
9184,4,-.36461195,.16522717,-.15834849,1,1,1,7,0
8439,4,-.25962877,.72274357,-.69909036,1,1,1,7,0
